Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_Label,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Married,Marital_Status_Single,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Churn_Label
-0.9138695254188792,1,-0.3666918523579661,5,3,3,0.135671464460951,0.4970202622169249,0.1353692811404398,0.944,0.0448425503505062,0.1395348837209302,1.154,0.211,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.2901495709831742,2,-1.9945361015749392,6,3,3,0.019520704281132,0.5832340087405642,0.0177614232318256,1.004,0.0346055413374874,0.1395348837209302,0.556,0.704,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.1654055800960332,1,0.0089645128459507,4,4,3,0.1553221656886664,0.0,0.1904499753715991,0.579,0.0531323022143095,0.186046511627907,0.619,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
-0.5396375527574563,1,0.0089645128459507,5,1,2,0.0288623453263074,0.788637266587207,0.0117347086605047,0.788,0.0260376098809391,0.0465116279069767,0.778,0.83,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.9138695254188792,2,-1.1180045827657998,4,2,2,0.1441061500648473,1.0,0.1067713615159505,0.939,0.0386113274730165,0.0697674418604651,0.727,0.406,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.6643815436445972,2,-1.4936609479697167,4,1,3,0.2396690217276292,0.4386174016686531,0.239301132906441,0.572,0.044119283409369,0.2248062015503875,0.625,0.118,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.9138695254188792,2,0.0089645128459507,4,2,2,0.1158091402969372,0.5860150973381009,0.1098426679801813,1.148,0.0881272949816401,0.1162790697674418,0.667,0.28,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-0.7891255345317383,1,-1.6188797363710223,6,3,2,0.1678381507783189,0.547477155343663,0.1625184713006693,0.73,0.0539112050739957,0.1472868217054263,0.611,0.197,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.4148935618703152,1,0.1341833012472563,4,3,2,1.0000000000000002,0.5721096543504172,0.9582765914293164,1.117,0.0592522532547012,0.186046511627907,2.4,0.042,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-1.5375894798545844,3,-1.2432233711671057,4,3,3,0.0552245168194886,1.0,0.0215860690174716,0.952,0.0741626794258373,0.193798449612403,0.944,0.771,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
